frase,categoria,frase_norm,tokens,bigrams,trigrams
un dos tres pan con queso,Alimentacion (Comidas y Bebidas),un dos tres pan con queso,"['un', 'dos', 'tres', 'pan', 'con', 'queso']","['un dos', 'dos tres', 'tres pan', 'pan con', 'con queso']","['un dos tres', 'dos tres pan', 'tres pan con', 'pan con queso']"
te moviste,Rutinas Diarias (Acciones y Hogar),te moviste,"['te', 'moviste']",['te moviste'],[]
perdiste,Rutinas Diarias (Acciones y Hogar),perdiste,['perdiste'],[],[]
juguemos al lobo,Rutinas Diarias (Acciones y Hogar),juguemos al lobo,"['juguemos', 'al', 'lobo']","['juguemos al', 'al lobo']",['juguemos al lobo']
jugare en el bosque,Juego y Ocio,jugare en el bosque,"['jugare', 'en', 'el', 'bosque']","['jugare en', 'en el', 'el bosque']","['jugare en el', 'en el bosque']"
mientras el lobo no esta,Rutinas Diarias (Acciones y Hogar),mientras el lobo no esta,"['mientras', 'el', 'lobo', 'no', 'esta']","['mientras el', 'el lobo', 'lobo no', 'no esta']","['mientras el lobo', 'el lobo no', 'lobo no esta']"
lobo estas ahi,Rutinas Diarias (Acciones y Hogar),lobo estas ahi,"['lobo', 'estas', 'ahi']","['lobo estas', 'estas ahi']",['lobo estas ahi']
me estoy poniendo los pantalones,Alimentacion (Comidas y Bebidas),me estoy poniendo los pantalones,"['me', 'estoy', 'poniendo', 'los', 'pantalones']","['me estoy', 'estoy poniendo', 'poniendo los', 'los pantalones']","['me estoy poniendo', 'estoy poniendo los', 'poniendo los pantalones']"
juguemos a la ronda,Rutinas Diarias (Acciones y Hogar),juguemos a la ronda,"['juguemos', 'a', 'la', 'ronda']","['juguemos a', 'a la', 'la ronda']","['juguemos a la', 'a la ronda']"
agarrense de las manos,Rutinas Diarias (Acciones y Hogar),agarrense de las manos,"['agarrense', 'de', 'las', 'manos']","['agarrense de', 'de las', 'las manos']","['agarrense de las', 'de las manos']"
demos vueltas,Rutinas Diarias (Acciones y Hogar),demos vueltas,"['demos', 'vueltas']",['demos vueltas'],[]
juguemos al mundo,Rutinas Diarias (Acciones y Hogar),juguemos al mundo,"['juguemos', 'al', 'mundo']","['juguemos al', 'al mundo']",['juguemos al mundo']
dame una tiza,Rutinas Diarias (Acciones y Hogar),dame una tiza,"['dame', 'una', 'tiza']","['dame una', 'una tiza']",['dame una tiza']
voy a dibujar el avion,Juego y Ocio,voy a dibujar el avion,"['voy', 'a', 'dibujar', 'el', 'avion']","['voy a', 'a dibujar', 'dibujar el', 'el avion']","['voy a dibujar', 'a dibujar el', 'dibujar el avion']"
tira la teja,Rutinas Diarias (Acciones y Hogar),tira la teja,"['tira', 'la', 'teja']","['tira la', 'la teja']",['tira la teja']
salta en un pie,Rutinas Diarias (Acciones y Hogar),salta en un pie,"['salta', 'en', 'un', 'pie']","['salta en', 'en un', 'un pie']","['salta en un', 'en un pie']"
juguemos a simon dice,Rutinas Diarias (Acciones y Hogar),juguemos a simon dice,"['juguemos', 'a', 'simon', 'dice']","['juguemos a', 'a simon', 'simon dice']","['juguemos a simon', 'a simon dice']"
simon dice que te toques la cabeza,Preguntas Simples (Peticiones de informacion),simon dice que te toques la cabeza,"['simon', 'dice', 'que', 'te', 'toques', 'la', 'cabeza']","['simon dice', 'dice que', 'que te', 'te toques', 'toques la', 'la cabeza']","['simon dice que', 'dice que te', 'que te toques', 'te toques la', 'toques la cabeza']"
simon dice que saltes,Preguntas Simples (Peticiones de informacion),simon dice que saltes,"['simon', 'dice', 'que', 'saltes']","['simon dice', 'dice que', 'que saltes']","['simon dice que', 'dice que saltes']"
jajaja perdiste,Rutinas Diarias (Acciones y Hogar),jajaja perdiste,"['jajaja', 'perdiste']",['jajaja perdiste'],[]
simon no dijo,Rutinas Diarias (Acciones y Hogar),simon no dijo,"['simon', 'no', 'dijo']","['simon no', 'no dijo']",['simon no dijo']
juguemos a piedra papel o tijera,Rutinas Diarias (Acciones y Hogar),juguemos a piedra papel o tijera,"['juguemos', 'a', 'piedra', 'papel', 'o', 'tijera']","['juguemos a', 'a piedra', 'piedra papel', 'papel o', 'o tijera']","['juguemos a piedra', 'a piedra papel', 'piedra papel o', 'papel o tijera']"
piedra papel o tijera,Rutinas Diarias (Acciones y Hogar),piedra papel o tijera,"['piedra', 'papel', 'o', 'tijera']","['piedra papel', 'papel o', 'o tijera']","['piedra papel o', 'papel o tijera']"
te gane,Rutinas Diarias (Acciones y Hogar),te gane,"['te', 'gane']",['te gane'],[]
empate,Rutinas Diarias (Acciones y Hogar),empate,['empate'],[],[]
juguemos a adivinar,Rutinas Diarias (Acciones y Hogar),juguemos a adivinar,"['juguemos', 'a', 'adivinar']","['juguemos a', 'a adivinar']",['juguemos a adivinar']
que estoy pensando,Preguntas Simples (Peticiones de informacion),que estoy pensando,"['que', 'estoy', 'pensando']","['que estoy', 'estoy pensando']",['que estoy pensando']
es un animal,Rutinas Diarias (Acciones y Hogar),es un animal,"['es', 'un', 'animal']","['es un', 'un animal']",['es un animal']
adivinaste,Rutinas Diarias (Acciones y Hogar),adivinaste,['adivinaste'],[],[]
te toca adivinar a ti,Rutinas Diarias (Acciones y Hogar),te toca adivinar a ti,"['te', 'toca', 'adivinar', 'a', 'ti']","['te toca', 'toca adivinar', 'adivinar a', 'a ti']","['te toca adivinar', 'toca adivinar a', 'adivinar a ti']"
juguemos al telefono malogrado,Rutinas Diarias (Acciones y Hogar),juguemos al telefono malogrado,"['juguemos', 'al', 'telefono', 'malogrado']","['juguemos al', 'al telefono', 'telefono malogrado']","['juguemos al telefono', 'al telefono malogrado']"
dilo en secreto,Rutinas Diarias (Acciones y Hogar),dilo en secreto,"['dilo', 'en', 'secreto']","['dilo en', 'en secreto']",['dilo en secreto']
salio cualquier cosa,Preguntas Simples (Peticiones de informacion),salio cualquier cosa,"['salio', 'cualquier', 'cosa']","['salio cualquier', 'cualquier cosa']",['salio cualquier cosa']
que risa,Preguntas Simples (Peticiones de informacion),que risa,"['que', 'risa']",['que risa'],[]
juguemos a las estatuas,Rutinas Diarias (Acciones y Hogar),juguemos a las estatuas,"['juguemos', 'a', 'las', 'estatuas']","['juguemos a', 'a las', 'las estatuas']","['juguemos a las', 'a las estatuas']"
musica,Juego y Ocio,musica,['musica'],[],[]
congelados,Rutinas Diarias (Acciones y Hogar),congelados,['congelados'],[],[]
el primero que se mueva pierde,Preguntas Simples (Peticiones de informacion),el primero que se mueva pierde,"['el', 'primero', 'que', 'se', 'mueva', 'pierde']","['el primero', 'primero que', 'que se', 'se mueva', 'mueva pierde']","['el primero que', 'primero que se', 'que se mueva', 'se mueva pierde']"
juguemos a la guerra de almohadas,Rutinas Diarias (Acciones y Hogar),juguemos a la guerra de almohadas,"['juguemos', 'a', 'la', 'guerra', 'de', 'almohadas']","['juguemos a', 'a la', 'la guerra', 'guerra de', 'de almohadas']","['juguemos a la', 'a la guerra', 'la guerra de', 'guerra de almohadas']"
toma esto,Rutinas Diarias (Acciones y Hogar),toma esto,"['toma', 'esto']",['toma esto'],[]
se rompieron las plumas,Rutinas Diarias (Acciones y Hogar),se rompieron las plumas,"['se', 'rompieron', 'las', 'plumas']","['se rompieron', 'rompieron las', 'las plumas']","['se rompieron las', 'rompieron las plumas']"
juguemos a hacer mimica,Rutinas Diarias (Acciones y Hogar),juguemos a hacer mimica,"['juguemos', 'a', 'hacer', 'mimica']","['juguemos a', 'a hacer', 'hacer mimica']","['juguemos a hacer', 'a hacer mimica']"
que pelicula es,Juego y Ocio,que pelicula es,"['que', 'pelicula', 'es']","['que pelicula', 'pelicula es']",['que pelicula es']
que animal soy,Preguntas Simples (Peticiones de informacion),que animal soy,"['que', 'animal', 'soy']","['que animal', 'animal soy']",['que animal soy']
adivina el personaje,Familia y Personas,adivina el personaje,"['adivina', 'el', 'personaje']","['adivina el', 'el personaje']",['adivina el personaje']
memoria,Rutinas Diarias (Acciones y Hogar),memoria,['memoria'],[],[]
roba una carta,Rutinas Diarias (Acciones y Hogar),roba una carta,"['roba', 'una', 'carta']","['roba una', 'una carta']",['roba una carta']
tengo un par,Rutinas Diarias (Acciones y Hogar),tengo un par,"['tengo', 'un', 'par']","['tengo un', 'un par']",['tengo un par']
gane yo,Rutinas Diarias (Acciones y Hogar),gane yo,"['gane', 'yo']",['gane yo'],[]
juguemos uno,Rutinas Diarias (Acciones y Hogar),juguemos uno,"['juguemos', 'uno']",['juguemos uno'],[]
no te olvides de decir uno,Rutinas Diarias (Acciones y Hogar),no te olvides de decir uno,"['no', 'te', 'olvides', 'de', 'decir', 'uno']","['no te', 'te olvides', 'olvides de', 'de decir', 'decir uno']","['no te olvides', 'te olvides de', 'olvides de decir', 'de decir uno']"
te echo cuatro,Rutinas Diarias (Acciones y Hogar),te echo cuatro,"['te', 'echo', 'cuatro']","['te echo', 'echo cuatro']",['te echo cuatro']
cambio de color,Rutinas Diarias (Acciones y Hogar),cambio de color,"['cambio', 'de', 'color']","['cambio de', 'de color']",['cambio de color']
me toca,Rutinas Diarias (Acciones y Hogar),me toca,"['me', 'toca']",['me toca'],[]
espera tu turno,Rutinas Diarias (Acciones y Hogar),espera tu turno,"['espera', 'tu', 'turno']","['espera tu', 'tu turno']",['espera tu turno']
no vale,Rutinas Diarias (Acciones y Hogar),no vale,"['no', 'vale']",['no vale'],[]
eso es trampa,Rutinas Diarias (Acciones y Hogar),eso es trampa,"['eso', 'es', 'trampa']","['eso es', 'es trampa']",['eso es trampa']
eres un tramposo,Rutinas Diarias (Acciones y Hogar),eres un tramposo,"['eres', 'un', 'tramposo']","['eres un', 'un tramposo']",['eres un tramposo']
ya no juego contigo,Juego y Ocio,ya no juego contigo,"['ya', 'no', 'juego', 'contigo']","['ya no', 'no juego', 'juego contigo']","['ya no juego', 'no juego contigo']"
me enoje,Rutinas Diarias (Acciones y Hogar),me enoje,"['me', 'enoje']",['me enoje'],[]
esta bien juguemos,Rutinas Diarias (Acciones y Hogar),esta bien juguemos,"['esta', 'bien', 'juguemos']","['esta bien', 'bien juguemos']",['esta bien juguemos']
pero sin trampas,Rutinas Diarias (Acciones y Hogar),pero sin trampas,"['pero', 'sin', 'trampas']","['pero sin', 'sin trampas']",['pero sin trampas']
juguemos a la pelota,Juego y Ocio,juguemos a la pelota,"['juguemos', 'a', 'la', 'pelota']","['juguemos a', 'a la', 'la pelota']","['juguemos a la', 'a la pelota']"
futbol en el parque,Juego y Ocio,futbol en el parque,"['futbol', 'en', 'el', 'parque']","['futbol en', 'en el', 'el parque']","['futbol en el', 'en el parque']"
meti un gol,Rutinas Diarias (Acciones y Hogar),meti un gol,"['meti', 'un', 'gol']","['meti un', 'un gol']",['meti un gol']
golazo,Rutinas Diarias (Acciones y Hogar),golazo,['golazo'],[],[]
tapa el arco,Rutinas Diarias (Acciones y Hogar),tapa el arco,"['tapa', 'el', 'arco']","['tapa el', 'el arco']",['tapa el arco']
soy el arquero,Rutinas Diarias (Acciones y Hogar),soy el arquero,"['soy', 'el', 'arquero']","['soy el', 'el arquero']",['soy el arquero']
pasame la pelota,Juego y Ocio,pasame la pelota,"['pasame', 'la', 'pelota']","['pasame la', 'la pelota']",['pasame la pelota']
buena jugada,Rutinas Diarias (Acciones y Hogar),buena jugada,"['buena', 'jugada']",['buena jugada'],[]
juguemos basquet,Rutinas Diarias (Acciones y Hogar),juguemos basquet,"['juguemos', 'basquet']",['juguemos basquet'],[]
vamos a encestar,Rutinas Diarias (Acciones y Hogar),vamos a encestar,"['vamos', 'a', 'encestar']","['vamos a', 'a encestar']",['vamos a encestar']
casi entra,Rutinas Diarias (Acciones y Hogar),casi entra,"['casi', 'entra']",['casi entra'],[]
canasta,Rutinas Diarias (Acciones y Hogar),canasta,['canasta'],[],[]
juguemos voley,Rutinas Diarias (Acciones y Hogar),juguemos voley,"['juguemos', 'voley']",['juguemos voley'],[]
no dejes caer la pelota,Juego y Ocio,no dejes caer la pelota,"['no', 'dejes', 'caer', 'la', 'pelota']","['no dejes', 'dejes caer', 'caer la', 'la pelota']","['no dejes caer', 'dejes caer la', 'caer la pelota']"
buen saque,Rutinas Diarias (Acciones y Hogar),buen saque,"['buen', 'saque']",['buen saque'],[]
juguemos tenis,Rutinas Diarias (Acciones y Hogar),juguemos tenis,"['juguemos', 'tenis']",['juguemos tenis'],[]
dame la raqueta,Rutinas Diarias (Acciones y Hogar),dame la raqueta,"['dame', 'la', 'raqueta']","['dame la', 'la raqueta']",['dame la raqueta']
paso la red,Rutinas Diarias (Acciones y Hogar),paso la red,"['paso', 'la', 'red']","['paso la', 'la red']",['paso la red']
punto para mi,Rutinas Diarias (Acciones y Hogar),punto para mi,"['punto', 'para', 'mi']","['punto para', 'para mi']",['punto para mi']
juguemos ping pong,Rutinas Diarias (Acciones y Hogar),juguemos ping pong,"['juguemos', 'ping', 'pong']","['juguemos ping', 'ping pong']",['juguemos ping pong']
es un juego de mesa,Juego y Ocio,es un juego de mesa,"['es', 'un', 'juego', 'de', 'mesa']","['es un', 'un juego', 'juego de', 'de mesa']","['es un juego', 'un juego de', 'juego de mesa']"
juguemos ajedrez,Rutinas Diarias (Acciones y Hogar),juguemos ajedrez,"['juguemos', 'ajedrez']",['juguemos ajedrez'],[]
jaque mate,Preguntas Simples (Peticiones de informacion),jaque mate,"['jaque', 'mate']",['jaque mate'],[]
te comi la reina,Rutinas Diarias (Acciones y Hogar),te comi la reina,"['te', 'comi', 'la', 'reina']","['te comi', 'comi la', 'la reina']","['te comi la', 'comi la reina']"
juguemos damas,Rutinas Diarias (Acciones y Hogar),juguemos damas,"['juguemos', 'damas']",['juguemos damas'],[]
te como,Rutinas Diarias (Acciones y Hogar),te como,"['te', 'como']",['te como'],[]
te corone,Rutinas Diarias (Acciones y Hogar),te corone,"['te', 'corone']",['te corone'],[]
juguemos monopolio,Rutinas Diarias (Acciones y Hogar),juguemos monopolio,"['juguemos', 'monopolio']",['juguemos monopolio'],[]
comprate esa propiedad,Rutinas Diarias (Acciones y Hogar),comprate esa propiedad,"['comprate', 'esa', 'propiedad']","['comprate esa', 'esa propiedad']",['comprate esa propiedad']
te caiste en mi hotel,Rutinas Diarias (Acciones y Hogar),te caiste en mi hotel,"['te', 'caiste', 'en', 'mi', 'hotel']","['te caiste', 'caiste en', 'en mi', 'mi hotel']","['te caiste en', 'caiste en mi', 'en mi hotel']"
pagame,Rutinas Diarias (Acciones y Hogar),pagame,['pagame'],[],[]
estoy en la carcel,Rutinas Diarias (Acciones y Hogar),estoy en la carcel,"['estoy', 'en', 'la', 'carcel']","['estoy en', 'en la', 'la carcel']","['estoy en la', 'en la carcel']"
voy a tirar los dados,Rutinas Diarias (Acciones y Hogar),voy a tirar los dados,"['voy', 'a', 'tirar', 'los', 'dados']","['voy a', 'a tirar', 'tirar los', 'los dados']","['voy a tirar', 'a tirar los', 'tirar los dados']"
sali de la carcel,Rutinas Diarias (Acciones y Hogar),sali de la carcel,"['sali', 'de', 'la', 'carcel']","['sali de', 'de la', 'la carcel']","['sali de la', 'de la carcel']"
soy millonario,Rutinas Diarias (Acciones y Hogar),soy millonario,"['soy', 'millonario']",['soy millonario'],[]
estoy en bancarrota,Rutinas Diarias (Acciones y Hogar),estoy en bancarrota,"['estoy', 'en', 'bancarrota']","['estoy en', 'en bancarrota']",['estoy en bancarrota']
juguemos twister,Rutinas Diarias (Acciones y Hogar),juguemos twister,"['juguemos', 'twister']",['juguemos twister'],[]
mano derecha al rojo,Rutinas Diarias (Acciones y Hogar),mano derecha al rojo,"['mano', 'derecha', 'al', 'rojo']","['mano derecha', 'derecha al', 'al rojo']","['mano derecha al', 'derecha al rojo']"
pie izquierdo al verde,Rutinas Diarias (Acciones y Hogar),pie izquierdo al verde,"['pie', 'izquierdo', 'al', 'verde']","['pie izquierdo', 'izquierdo al', 'al verde']","['pie izquierdo al', 'izquierdo al verde']"
no te caigas,Rutinas Diarias (Acciones y Hogar),no te caigas,"['no', 'te', 'caigas']","['no te', 'te caigas']",['no te caigas']
juguemos a saltar la soga,Rutinas Diarias (Acciones y Hogar),juguemos a saltar la soga,"['juguemos', 'a', 'saltar', 'la', 'soga']","['juguemos a', 'a saltar', 'saltar la', 'la soga']","['juguemos a saltar', 'a saltar la', 'saltar la soga']"
cuantos saltos diste,Preguntas Simples (Peticiones de informacion),cuantos saltos diste,"['cuantos', 'saltos', 'diste']","['cuantos saltos', 'saltos diste']",['cuantos saltos diste']
me enrede,Rutinas Diarias (Acciones y Hogar),me enrede,"['me', 'enrede']",['me enrede'],[]
juguemos a las palmaditas,Rutinas Diarias (Acciones y Hogar),juguemos a las palmaditas,"['juguemos', 'a', 'las', 'palmaditas']","['juguemos a', 'a las', 'las palmaditas']","['juguemos a las', 'a las palmaditas']"
chocolate,Rutinas Diarias (Acciones y Hogar),chocolate,['chocolate'],[],[]
juguemos al veo veo,Rutinas Diarias (Acciones y Hogar),juguemos al veo veo,"['juguemos', 'al', 'veo', 'veo']","['juguemos al', 'al veo', 'veo veo']","['juguemos al veo', 'al veo veo']"
veo veo,Rutinas Diarias (Acciones y Hogar),veo veo,"['veo', 'veo']",['veo veo'],[]
que ves,Preguntas Simples (Peticiones de informacion),que ves,"['que', 'ves']",['que ves'],[]
una cosa maravillosa,Rutinas Diarias (Acciones y Hogar),una cosa maravillosa,"['una', 'cosa', 'maravillosa']","['una cosa', 'cosa maravillosa']",['una cosa maravillosa']
de que color,Preguntas Simples (Peticiones de informacion),de que color,"['de', 'que', 'color']","['de que', 'que color']",['de que color']
empieza con la letra A,Rutinas Diarias (Acciones y Hogar),empieza con la letra a,"['empieza', 'con', 'la', 'letra', 'a']","['empieza con', 'con la', 'la letra', 'letra a']","['empieza con la', 'con la letra', 'la letra a']"
es un arbol,Rutinas Diarias (Acciones y Hogar),es un arbol,"['es', 'un', 'arbol']","['es un', 'un arbol']",['es un arbol']
juguemos con el hula hula,Rutinas Diarias (Acciones y Hogar),juguemos con el hula hula,"['juguemos', 'con', 'el', 'hula', 'hula']","['juguemos con', 'con el', 'el hula', 'hula hula']","['juguemos con el', 'con el hula', 'el hula hula']"
mira como lo muevo,Preguntas Simples (Peticiones de informacion),mira como lo muevo,"['mira', 'como', 'lo', 'muevo']","['mira como', 'como lo', 'lo muevo']","['mira como lo', 'como lo muevo']"
no se me cae,Rutinas Diarias (Acciones y Hogar),no se me cae,"['no', 'se', 'me', 'cae']","['no se', 'se me', 'me cae']","['no se me', 'se me cae']"
se me cayo,Rutinas Diarias (Acciones y Hogar),se me cayo,"['se', 'me', 'cayo']","['se me', 'me cayo']",['se me cayo']
intentalo tu,Alimentacion (Comidas y Bebidas),intentalo tu,"['intentalo', 'tu']",['intentalo tu'],[]
es muy dificil,Rutinas Diarias (Acciones y Hogar),es muy dificil,"['es', 'muy', 'dificil']","['es muy', 'muy dificil']",['es muy dificil']
es facil,Rutinas Diarias (Acciones y Hogar),es facil,"['es', 'facil']",['es facil'],[]
solo es practica,Rutinas Diarias (Acciones y Hogar),solo es practica,"['solo', 'es', 'practica']","['solo es', 'es practica']",['solo es practica']
juguemos con el yoyo,Rutinas Diarias (Acciones y Hogar),juguemos con el yoyo,"['juguemos', 'con', 'el', 'yoyo']","['juguemos con', 'con el', 'el yoyo']","['juguemos con el', 'con el yoyo']"
mira este truco,Rutinas Diarias (Acciones y Hogar),mira este truco,"['mira', 'este', 'truco']","['mira este', 'este truco']",['mira este truco']
el dormilon,Rutinas Diarias (Acciones y Hogar),el dormilon,"['el', 'dormilon']",['el dormilon'],[]
el paseito,Rutinas Diarias (Acciones y Hogar),el paseito,"['el', 'paseito']",['el paseito'],[]
se me enredo,Rutinas Diarias (Acciones y Hogar),se me enredo,"['se', 'me', 'enredo']","['se me', 'me enredo']",['se me enredo']
ayudame a desenredarlo,Rutinas Diarias (Acciones y Hogar),ayudame a desenredarlo,"['ayudame', 'a', 'desenredarlo']","['ayudame a', 'a desenredarlo']",['ayudame a desenredarlo']
juguemos al tutti frutti,Rutinas Diarias (Acciones y Hogar),juguemos al tutti frutti,"['juguemos', 'al', 'tutti', 'frutti']","['juguemos al', 'al tutti', 'tutti frutti']","['juguemos al tutti', 'al tutti frutti']"
stop,Rutinas Diarias (Acciones y Hogar),stop,['stop'],[],[]
declaramos la guerra,Rutinas Diarias (Acciones y Hogar),declaramos la guerra,"['declaramos', 'la', 'guerra']","['declaramos la', 'la guerra']",['declaramos la guerra']
en contra de mi peor enemigo que es,Preguntas Simples (Peticiones de informacion),en contra de mi peor enemigo que es,"['en', 'contra', 'de', 'mi', 'peor', 'enemigo', 'que', 'es']","['en contra', 'contra de', 'de mi', 'mi peor', 'peor enemigo', 'enemigo que', 'que es']","['en contra de', 'contra de mi', 'de mi peor', 'mi peor enemigo', 'peor enemigo que', 'enemigo que es']"
nombre de fruta,Alimentacion (Comidas y Bebidas),nombre de fruta,"['nombre', 'de', 'fruta']","['nombre de', 'de fruta']",['nombre de fruta']
manzana,Rutinas Diarias (Acciones y Hogar),manzana,['manzana'],[],[]
juguemos a los encantados,Rutinas Diarias (Acciones y Hogar),juguemos a los encantados,"['juguemos', 'a', 'los', 'encantados']","['juguemos a', 'a los', 'los encantados']","['juguemos a los', 'a los encantados']"
te encante,Alimentacion (Comidas y Bebidas),te encante,"['te', 'encante']",['te encante'],[]
no te muevas,Rutinas Diarias (Acciones y Hogar),no te muevas,"['no', 'te', 'muevas']","['no te', 'te muevas']",['no te muevas']
te desencantaron,Juego y Ocio,te desencantaron,"['te', 'desencantaron']",['te desencantaron'],[]
juguemos al mata gente,Familia y Personas,juguemos al mata gente,"['juguemos', 'al', 'mata', 'gente']","['juguemos al', 'al mata', 'mata gente']","['juguemos al mata', 'al mata gente']"
te cayo la pelota,Juego y Ocio,te cayo la pelota,"['te', 'cayo', 'la', 'pelota']","['te cayo', 'cayo la', 'la pelota']","['te cayo la', 'cayo la pelota']"
estas muerto,Rutinas Diarias (Acciones y Hogar),estas muerto,"['estas', 'muerto']",['estas muerto'],[]
sal del juego,Juego y Ocio,sal del juego,"['sal', 'del', 'juego']","['sal del', 'del juego']",['sal del juego']
quien queda,Preguntas Simples (Peticiones de informacion),quien queda,"['quien', 'queda']",['quien queda'],[]
el ultimo gana,Rutinas Diarias (Acciones y Hogar),el ultimo gana,"['el', 'ultimo', 'gana']","['el ultimo', 'ultimo gana']",['el ultimo gana']
soy el ganador,Rutinas Diarias (Acciones y Hogar),soy el ganador,"['soy', 'el', 'ganador']","['soy el', 'el ganador']",['soy el ganador']
ganamos,Rutinas Diarias (Acciones y Hogar),ganamos,['ganamos'],[],[]
perdimos,Rutinas Diarias (Acciones y Hogar),perdimos,['perdimos'],[],[]
buen juego,Juego y Ocio,buen juego,"['buen', 'juego']",['buen juego'],[]
choca esos cinco,Rutinas Diarias (Acciones y Hogar),choca esos cinco,"['choca', 'esos', 'cinco']","['choca esos', 'esos cinco']",['choca esos cinco']
estuvo divertido,Rutinas Diarias (Acciones y Hogar),estuvo divertido,"['estuvo', 'divertido']",['estuvo divertido'],[]
juguemos manana,Rutinas Diarias (Acciones y Hogar),juguemos manana,"['juguemos', 'manana']",['juguemos manana'],[]
a que hora jugamos,Preguntas Simples (Peticiones de informacion),a que hora jugamos,"['a', 'que', 'hora', 'jugamos']","['a que', 'que hora', 'hora jugamos']","['a que hora', 'que hora jugamos']"
despues de la tarea,Escuela y Aprendizaje,despues de la tarea,"['despues', 'de', 'la', 'tarea']","['despues de', 'de la', 'la tarea']","['despues de la', 'de la tarea']"
primero el deber,Rutinas Diarias (Acciones y Hogar),primero el deber,"['primero', 'el', 'deber']","['primero el', 'el deber']",['primero el deber']
luego el placer,Rutinas Diarias (Acciones y Hogar),luego el placer,"['luego', 'el', 'placer']","['luego el', 'el placer']",['luego el placer']
guarda la pelota,Juego y Ocio,guarda la pelota,"['guarda', 'la', 'pelota']","['guarda la', 'la pelota']",['guarda la pelota']
guarda las munecas,Rutinas Diarias (Acciones y Hogar),guarda las munecas,"['guarda', 'las', 'munecas']","['guarda las', 'las munecas']",['guarda las munecas']
se acabo el recreo,Rutinas Diarias (Acciones y Hogar),se acabo el recreo,"['se', 'acabo', 'el', 'recreo']","['se acabo', 'acabo el', 'el recreo']","['se acabo el', 'acabo el recreo']"
hora de guardar,Rutinas Diarias (Acciones y Hogar),hora de guardar,"['hora', 'de', 'guardar']","['hora de', 'de guardar']",['hora de guardar']
todos a guardar,Rutinas Diarias (Acciones y Hogar),todos a guardar,"['todos', 'a', 'guardar']","['todos a', 'a guardar']",['todos a guardar']
cada cosa en su lugar,Rutinas Diarias (Acciones y Hogar),cada cosa en su lugar,"['cada', 'cosa', 'en', 'su', 'lugar']","['cada cosa', 'cosa en', 'en su', 'su lugar']","['cada cosa en', 'cosa en su', 'en su lugar']"
terminamos de jugar,Juego y Ocio,terminamos de jugar,"['terminamos', 'de', 'jugar']","['terminamos de', 'de jugar']",['terminamos de jugar']
ya me canse de jugar,Juego y Ocio,ya me canse de jugar,"['ya', 'me', 'canse', 'de', 'jugar']","['ya me', 'me canse', 'canse de', 'de jugar']","['ya me canse', 'me canse de', 'canse de jugar']"
quiero hacer otra cosa,Rutinas Diarias (Acciones y Hogar),quiero hacer otra cosa,"['quiero', 'hacer', 'otra', 'cosa']","['quiero hacer', 'hacer otra', 'otra cosa']","['quiero hacer otra', 'hacer otra cosa']"
hora de ir al colegio,Escuela y Aprendizaje,hora de ir al colegio,"['hora', 'de', 'ir', 'al', 'colegio']","['hora de', 'de ir', 'ir al', 'al colegio']","['hora de ir', 'de ir al', 'ir al colegio']"
ya me voy a la escuela,Escuela y Aprendizaje,ya me voy a la escuela,"['ya', 'me', 'voy', 'a', 'la', 'escuela']","['ya me', 'me voy', 'voy a', 'a la', 'la escuela']","['ya me voy', 'me voy a', 'voy a la', 'a la escuela']"
despierta que tienes clases,Escuela y Aprendizaje,despierta que tienes clases,"['despierta', 'que', 'tienes', 'clases']","['despierta que', 'que tienes', 'tienes clases']","['despierta que tienes', 'que tienes clases']"
levantate para el colegio,Escuela y Aprendizaje,levantate para el colegio,"['levantate', 'para', 'el', 'colegio']","['levantate para', 'para el', 'el colegio']","['levantate para el', 'para el colegio']"
ponte el uniforme,Rutinas Diarias (Acciones y Hogar),ponte el uniforme,"['ponte', 'el', 'uniforme']","['ponte el', 'el uniforme']",['ponte el uniforme']
mi uniforme esta sucio,Rutinas Diarias (Acciones y Hogar),mi uniforme esta sucio,"['mi', 'uniforme', 'esta', 'sucio']","['mi uniforme', 'uniforme esta', 'esta sucio']","['mi uniforme esta', 'uniforme esta sucio']"
donde esta mi media,Preguntas Simples (Peticiones de informacion),donde esta mi media,"['donde', 'esta', 'mi', 'media']","['donde esta', 'esta mi', 'mi media']","['donde esta mi', 'esta mi media']"
ponte los zapatos del colegio,Escuela y Aprendizaje,ponte los zapatos del colegio,"['ponte', 'los', 'zapatos', 'del', 'colegio']","['ponte los', 'los zapatos', 'zapatos del', 'del colegio']","['ponte los zapatos', 'los zapatos del', 'zapatos del colegio']"
apurate,Rutinas Diarias (Acciones y Hogar),apurate,['apurate'],[],[]
se te hace tarde,Rutinas Diarias (Acciones y Hogar),se te hace tarde,"['se', 'te', 'hace', 'tarde']","['se te', 'te hace', 'hace tarde']","['se te hace', 'te hace tarde']"
el bus ya viene,Rutinas Diarias (Acciones y Hogar),el bus ya viene,"['el', 'bus', 'ya', 'viene']","['el bus', 'bus ya', 'ya viene']","['el bus ya', 'bus ya viene']"
perdi el bus,Rutinas Diarias (Acciones y Hogar),perdi el bus,"['perdi', 'el', 'bus']","['perdi el', 'el bus']",['perdi el bus']
me voy caminando,Rutinas Diarias (Acciones y Hogar),me voy caminando,"['me', 'voy', 'caminando']","['me voy', 'voy caminando']",['me voy caminando']
